Rule ID,Priority,Firing Order,Creator,Created On,Updated By,Updated On,Needs Review,Rule Condition 1,Rule Condition 2,Rule Condition 3,Rule Condition 4,Rule Condition 5,Rule Condition 6
190376,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains SAS-E INK","","","","",""
190378,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains LOW COUNTRY TARGET MAILING","","","","",""
189698,4,9,"Seth Thomas","03/09/2017","Seth Thomas","03/09/2017","","Supplier Parent Name Contains PAYPAL","","","","",""
189693,4,9,"Seth Thomas","03/09/2017","Seth Thomas","03/09/2017","","Supplier Parent Name Contains MB KAHN CONSTRUCTION CO INC","","","","",""
189696,4,9,"Seth Thomas","03/09/2017","Seth Thomas","03/09/2017","","Supplier Parent Name Contains NBM CONSTRUCTION","","","","",""
189694,4,9,"Seth Thomas","03/09/2017","Seth Thomas","03/09/2017","","Supplier Parent Name Contains ABATE & INSULATE","","","","",""
190384,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains GRAYSTONE GROUP ADVERTISING","","","","",""
189697,4,9,"Seth Thomas","03/09/2017","Seth Thomas","03/09/2017","","Supplier Parent Name Contains MCNAIR LAW FIRM","","","","",""
190979,4,9,"Seth Thomas","03/15/2017","Seth Thomas","03/15/2017","","Supplier Parent Name Contains BLACKBOARD INC","","","","",""
189782,4,9,"Seth Thomas","03/09/2017","Seth Thomas","03/09/2017","","Supplier Parent Name Contains JOHNSON CONTROLS","","","","",""
189783,4,9,"Seth Thomas","03/09/2017","Seth Thomas","03/09/2017","","Supplier Parent Name Contains LEVEL 3 COMMUNICATIONS CORP","","","","",""
189781,4,9,"Seth Thomas","03/09/2017","Seth Thomas","03/09/2017","","Supplier Parent Name Contains TAPFIN PROCESS SOLUTIONS","","","","",""
190502,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains FITBIT","","","","",""
190382,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains DEZ INC","","","","",""
190379,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains CHARLESTON REGIONAL BUSINESS","","","","",""
190380,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains WASHINGTON MONTHLY","","","","",""
190381,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains POST & COURIER LLC","","","","",""
190499,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains SC BUSINESS PUBLICATIONS","","","","",""
190495,4,9,"Seth Thomas","03/14/2017","Seth Thomas","03/14/2017","","Supplier Parent Name Contains SNAPCHAT INCGEOFILTER","","","","",""
